age,income,loan_amount,savings_balance,missed_payments,loan_duration,debt_to_income,savings_ratio,default
60,1726,1540,1593,0,21,0.89171974522293,1.0337443218689162,1
46,4974,2317,3987,2,5,0.46572864321608043,1.7200172562553926,0
53,3096,1440,4945,5,22,0.46496609622215046,3.431644691186676,1
30,3303,2321,4145,0,17,0.7024818401937046,1.785099052540913,1
49,2640,2617,1230,1,15,0.9909125331313896,0.4698242933537051,1
24,4335,2492,2612,5,16,0.5747232472324724,1.0477336542318492,1
39,4002,2592,3137,4,9,0.6475143642268298,1.209795603548014,1
45,1044,1141,1908,5,3,1.0918660287081339,1.6707530647985989,1
19,646,1193,1790,2,15,1.8438948995363216,1.4991624790619766,1
59,4115,1461,2928,0,6,0.35495626822157433,2.002735978112175,0
62,3309,2775,1088,4,14,0.8383685800604229,0.3919308357348703,1
23,1434,691,2381,2,9,0.4815331010452962,3.4407514450867054,0
45,426,626,4127,1,4,1.4660421545667448,6.582137161084529,1
45,4343,2603,4963,5,19,0.5992173112338858,1.9059139784946237,1
61,3159,1392,2945,4,3,0.44050632911392407,2.1141421392677673,1
61,2030,1754,3569,0,16,0.8636139832594781,2.033618233618234,1
37,3979,910,1165,0,23,0.228643216080402,1.278814489571899,0
47,386,287,600,1,3,0.7416020671834626,2.0833333333333335,1
28,3077,1692,2025,2,5,0.5497076023391813,1.1961015948021263,0
45,2735,2858,1584,4,13,1.0445906432748537,0.5540398740818469,1
42,2132,628,987,1,9,0.2944210032817628,1.5691573926868045,0
56,3124,533,1965,2,11,0.17056,3.6797752808988764,0
50,1048,2435,1439,3,5,2.321258341277407,0.5907224958949097,1
18,2232,2041,4615,3,3,0.9140170174652933,2.260039177277179,1
44,1452,2646,868,2,21,1.8210598761183758,0.3279183981866264,1
30,2081,1904,2063,0,4,0.914505283381364,1.0829396325459317,1
58,469,402,1129,0,23,0.8553191489361702,2.801488833746898,1
20,1830,186,4378,3,7,0.10158383397050792,23.41176470588235,1
56,4605,2977,4456,0,19,0.6463308727746417,1.496306245802552,1
23,3403,537,3729,0,21,0.15775558166862513,6.931226765799257,0
25,1774,2688,1934,2,7,1.5143661971830986,0.7192264782447007,1
44,3092,1145,1076,5,23,0.3701907533139347,0.9389179755671903,1
26,1895,932,1639,2,16,0.49156118143459915,1.7566988210075027,0
54,3458,896,1392,0,12,0.2590344030066493,1.5518394648829432,0
50,3462,659,30,2,23,0.19029742997401097,0.045454545454545456,1
59,1645,861,703,4,9,0.523086269744836,0.8155452436194895,1
61,419,1798,868,3,10,4.280952380952381,0.48249027237354086,1
41,252,2614,232,5,10,10.33201581027668,0.08871892925430211,1
32,1957,1224,950,4,9,0.6251276813074566,0.7755102040816326,1
49,1866,2822,58,4,15,1.5115158007498661,0.020545518951470068,1
49,2985,784,2818,0,16,0.2625586068318821,3.5898089171974523,0
41,919,1264,3600,0,21,1.373913043478261,2.8458498023715415,1
58,605,237,3149,4,13,0.3910891089108911,13.231092436974789,1
29,2494,677,301,4,4,0.27134268537074147,0.443952802359882,1
56,271,809,2850,1,19,2.974264705882353,3.5185185185185186,1
19,2253,327,2944,1,8,0.145075421472937,8.975609756097562,0
20,1429,2428,1923,3,11,1.697902097902098,0.7916838205022643,1
54,1767,2831,316,4,21,1.6012443438914028,0.1115819209039548,1
34,3882,927,1888,2,7,0.23873293844965232,2.0344827586206895,0
19,3153,530,2715,5,11,0.16804058338617628,5.112994350282486,1
19,4682,1163,4785,1,9,0.2483450779414905,4.110824742268041,0
45,898,1809,1881,0,6,2.0122358175750836,1.0392265193370165,1
40,1026,1786,3898,4,20,1.7390457643622201,2.1813094571908227,1
54,548,1334,4113,2,20,2.429872495446266,3.0808988764044942,1
49,4108,401,1178,5,22,0.09759065466050133,2.9303482587064678,1
50,507,1209,3855,2,19,2.37992125984252,3.1859504132231407,1
18,3616,1520,4873,2,6,0.42023776610450647,3.2038132807363575,0
36,2534,632,4455,0,18,0.2493096646942801,7.037914691943128,0
19,3009,868,331,1,7,0.28837209302325584,0.380897583429229,0
61,3758,2038,527,2,11,0.5421654695397712,0.2584600294261893,0
43,4678,1504,2059,5,4,0.3214362043171618,1.368106312292359,1
49,3677,543,1098,1,4,0.14763458401305057,2.0183823529411766,0
23,4820,359,211,3,6,0.07446587844845468,0.5861111111111111,1
49,2886,1638,1714,0,22,0.5673709733287149,1.0457596095179988,0
21,3185,1431,2688,1,22,0.4491525423728814,1.8770949720670391,0
28,475,2886,2330,1,19,6.063025210084033,0.8070661586421891,1
34,2747,2943,3266,2,22,1.0709606986899562,1.109375,1
55,2964,169,1032,5,23,0.05699831365935919,6.070588235294117,1
41,536,1577,1332,2,21,2.936685288640596,0.844106463878327,1
22,2173,1562,1840,5,5,0.718491260349586,1.1772232885476648,1
51,3179,1948,4686,0,7,0.6125786163522012,2.4043099025141097,1
23,4776,580,2138,1,12,0.12141511408833996,3.6798623063683307,0
39,4168,1267,4551,4,8,0.3039098105061166,3.5891167192429023,1
28,1110,2171,4091,5,5,1.9540954095409542,1.8835174953959484,1
33,2196,2893,443,5,19,1.3167956304050978,0.15307532826537665,1
50,3329,2992,4174,2,12,0.8984984984984985,1.3945873705312395,1
26,4404,1298,1498,2,14,0.2946651532349603,1.153194765204003,0
23,3957,2472,926,3,3,0.6245578575037898,0.374443995147594,1
33,527,1992,622,5,20,3.772727272727273,0.31209232313095836,1
46,1999,1794,1479,0,21,0.897,0.8239554317548746,1
20,514,1983,3037,1,22,3.8504854368932038,1.5307459677419355,1
37,3745,1471,3385,1,6,0.3926855312333155,2.2995923913043477,0
53,1334,897,3318,1,17,0.6719101123595506,3.694877505567929,1
36,2946,117,233,5,11,0.03970139124533424,1.9745762711864407,1
43,1720,143,1617,2,8,0.0830912260313771,11.229166666666666,0
20,355,254,2691,0,14,0.7134831460674157,10.552941176470588,1
36,1924,966,2030,1,20,0.5018181818181818,2.099276111685626,0
37,3543,842,386,5,17,0.2375846501128668,0.4578884934756821,1
49,1086,1951,1634,4,21,1.7948482060717572,0.8370901639344263,1
24,3273,1525,4133,3,11,0.465791081246182,2.7083879423328963,1
58,3005,324,1184,3,15,0.10778443113772455,3.643076923076923,1
50,921,316,1967,1,18,0.34273318872017355,6.205047318611987,0
57,1112,130,240,2,15,0.11680143755615453,1.83206106870229,0
56,3557,1992,561,3,3,0.5598650927487352,0.2814851981936779,1
35,1070,1182,1999,3,20,1.1036414565826331,1.6897717666948435,1
57,4308,2015,4901,3,5,0.4676258992805755,2.4310515873015874,1
18,697,997,1929,3,19,1.4283667621776504,1.9328657314629258,1
28,1956,544,4900,1,7,0.27797649463464486,8.990825688073395,0
45,1317,1358,2779,5,8,1.0303490136570561,2.0448859455481974,1
42,3609,1230,1675,0,23,0.3407202216066482,1.3606823720552397,0
40,3028,1314,2515,0,19,0.43380653681082865,1.9125475285171103,0
48,1847,2115,1677,2,19,1.1444805194805194,0.7925330812854442,1
47,3183,2677,4141,5,3,0.8407663316582915,1.546303211351755,1
59,342,2036,3746,4,9,5.9358600583090375,1.8389788905252822,1
52,2961,837,3356,0,18,0.2825793382849426,4.004773269689737,0
24,3635,1802,1651,4,7,0.4955995599559956,0.915696062118691,1
33,4860,973,4177,0,18,0.20016457519029007,4.288501026694045,0
43,2631,665,3841,0,6,0.2526595744680851,5.767267267267267,0
19,4712,2118,2441,2,13,0.44939528962444303,1.151958470976876,0
18,2048,1985,4885,3,16,0.9687652513421181,2.459718026183283,1
29,2896,2223,594,2,15,0.7673455298584743,0.2670863309352518,1
22,1917,646,2612,0,10,0.3368091762252346,4.0370942812983,0
54,3272,2414,4096,5,23,0.7375496486403911,1.6960662525879917,1
49,1267,416,1496,3,22,0.3280757097791798,3.5875299760191846,1
26,2986,1959,3555,5,17,0.6558419819216605,1.8137755102040816,1
58,3991,124,4861,5,20,0.031062124248496994,38.888,1
52,1488,259,4766,5,9,0.17394224311618536,18.33076923076923,1
36,4071,2743,3358,3,23,0.6736247544204322,1.2237609329446064,1
33,2006,1237,1601,5,21,0.6163428001993024,1.2932148626817448,1
20,1704,999,914,3,11,0.5859237536656892,0.914,1
37,3508,2649,1844,4,13,0.7549159304645198,0.6958490566037736,1
41,3151,1289,1995,0,12,0.4089467005076142,1.5465116279069768,0
50,271,802,94,1,16,2.948529411764706,0.11706102117061021,1
41,1890,100,492,5,18,0.05288207297726071,4.871287128712871,1
28,1544,2022,3069,2,10,1.30873786407767,1.5170538803756797,1
25,3503,2888,149,4,3,0.8242009132420092,0.05157493942540672,1
53,3313,2467,1046,2,14,0.7444176222088111,0.42382495948136145,1
55,1082,1524,2803,1,5,1.407202216066482,1.838032786885246,1
57,4434,481,398,3,4,0.1084554678692221,0.8257261410788381,1
37,2862,1841,4950,1,18,0.6430317848410758,2.6872964169381106,1
52,1704,1926,4476,2,6,1.1296187683284458,2.3227815256875974,1
42,2663,1373,551,1,4,0.5153903903903904,0.40101892285298396,0
52,2753,1648,294,0,14,0.59840232389252,0.17828987265009097,1
42,932,1678,1143,1,19,1.7984994640943195,0.680762358546754,1
46,1948,997,455,5,22,0.5115443817342227,0.4559118236472946,1
35,4124,816,1553,0,23,0.1978181818181818,1.9008567931456548,0
63,623,2454,168,5,12,3.9326923076923075,0.06843177189409369,1
35,3678,490,4805,1,22,0.1331883664039141,9.786150712830958,0
19,1791,1799,1946,0,10,1.00390625,1.0811111111111111,1
52,4685,2445,253,0,20,0.5217669654289373,0.10343417825020441,1
33,4637,332,2376,1,20,0.07158257869771453,7.135135135135135,0
58,4909,2026,1320,4,20,0.4126272912423625,0.6512086827824372,1
53,692,2418,2883,3,4,3.4891774891774894,1.1918147995039272,1
50,391,1419,3607,3,14,3.6198979591836733,2.5401408450704226,1
21,698,2824,2125,3,12,4.0400572246065805,0.7522123893805309,1
50,1456,805,3496,0,10,0.5525051475634866,4.337468982630273,0
31,2168,333,2240,3,21,0.15352697095435686,6.706586826347305,1
38,4522,1491,400,0,12,0.32964846340924164,0.2680965147453083,0
37,2386,2992,2156,4,13,1.2534562211981566,0.7203474774473773,1
25,1016,1355,2376,1,16,1.3323500491642084,1.752212389380531,1
24,3420,1996,362,1,17,0.5834551300789242,0.1812719078617927,1
20,1673,2638,3938,0,12,1.5758661887694145,1.4922319060250095,1
34,1286,2650,3851,0,6,2.059052059052059,1.4526593738211995,1
50,4399,989,3412,4,9,0.22477272727272726,3.4464646464646465,1
29,2074,691,2306,3,13,0.3330120481927711,3.332369942196532,1
39,1070,845,84,4,5,0.7889822595704948,0.09929078014184398,1
39,4963,1819,1824,1,7,0.3664383561643836,1.0021978021978022,0
63,2242,527,3885,1,4,0.23495318769505127,7.357954545454546,0
47,472,2844,307,5,14,6.012684989429175,0.10790861159929702,1
55,1229,2793,4357,3,23,2.270731707317073,1.559413027916965,1
55,3418,831,1921,1,7,0.2430535244223457,2.308894230769231,0
62,4269,899,630,5,9,0.21053864168618266,0.7,1
25,1251,2511,4775,0,6,2.0055910543130993,1.900875796178344,1
44,4233,301,4960,1,13,0.07109116674539442,16.423841059602648,0
44,1773,2293,2371,2,11,1.2925591882750846,1.0335658238884045,1
51,3390,935,3300,3,6,0.27572987319374814,3.5256410256410255,1
38,4588,2786,3667,5,11,0.6071039442144258,1.3157517043415858,1
47,3997,234,726,3,14,0.058529264632316155,3.0893617021276594,1
50,3489,2773,1648,3,18,0.7945558739255014,0.5940879596250901,1
45,3947,1387,4312,2,3,0.35131712259371833,3.106628242074928,0
64,2305,2211,1269,4,10,0.9588031222896791,0.5736889692585895,1
50,507,2638,4543,0,3,5.192913385826771,1.7214854111405835,1
22,3559,140,318,3,22,0.03932584269662921,2.25531914893617,1
36,3376,1012,3475,1,21,0.2996742671009772,3.4304047384007896,0
21,1451,1829,2778,0,6,1.2596418732782368,1.518032786885246,1
52,2947,1074,3058,1,16,0.364314789687924,2.8446511627906976,0
34,1717,1233,4134,0,16,0.7176949941792782,3.3500810372771475,1
61,1578,2515,1602,0,11,1.5927802406586447,0.636724960254372,1
45,2161,1559,2256,5,11,0.7210915818686402,1.4461538461538461,1
47,4505,2140,829,1,19,0.47492232578783844,0.3872022419430173,0
46,3063,343,855,1,17,0.11194516971279374,2.48546511627907,0
63,2856,265,2648,0,12,0.0927546377318866,9.954887218045112,0
23,2694,1149,1858,3,19,0.42634508348794065,1.6156521739130434,1
52,4767,1597,1102,1,11,0.3349412751677852,0.6896120150187734,0
58,4205,827,2481,2,6,0.19662387066096054,2.996376811594203,0
54,3763,1215,1820,2,16,0.32279489904357067,1.4967105263157894,0
41,1122,582,4937,0,5,0.5182546749777382,8.468267581475128,0
46,4432,2690,2079,4,23,0.6068125422964132,0.7725752508361204,1
63,4662,2547,3158,0,14,0.5462148831224534,1.239403453689168,0
48,3159,1330,2440,0,3,0.4208860759493671,1.8332081141998497,0
52,383,2766,3684,3,3,7.203125,1.3314058547162992,1
50,3558,2248,1255,3,15,0.6316381005900534,0.5580257892396621,1
38,1598,979,2957,5,16,0.6122576610381488,3.01734693877551,1
49,2996,929,3651,4,18,0.30997664330997665,3.925806451612903,1
40,736,2124,2239,4,9,2.881953867028494,1.0536470588235294,1
50,1473,858,1939,4,12,0.582089552238806,2.2572759022118745,1
20,3167,262,269,4,17,0.08270202020202021,1.0228136882129277,1
35,3249,1296,4830,4,10,0.39876923076923076,3.723978411719352,1
42,1296,2649,4064,0,13,2.0424055512721666,1.5335849056603774,1
59,1505,2694,4979,0,16,1.7888446215139442,1.847495361781076,1
48,1115,1407,3775,5,15,1.260752688172043,2.6811079545454546,1
20,3281,2528,1112,2,15,0.7702620353443023,0.43969948596283115,1
57,4447,2095,648,2,11,0.4709982014388489,0.30916030534351147,0
63,1228,2034,1179,5,19,1.6550040683482505,0.5793611793611794,1
41,2177,1656,2142,5,20,0.7603305785123967,1.2926976463488231,1
49,3554,2756,16,1,21,0.7752461322081575,0.005803409503083061,1
64,2711,406,116,0,15,0.14970501474926254,0.28501228501228504,0
39,470,1462,1545,4,14,3.1040339702760087,1.0560492139439508,1
40,1386,2202,3151,1,23,1.5875991348233598,1.4303222877893782,1
19,4755,432,2693,3,22,0.09083263246425567,6.219399538106235,1
44,4400,2274,4089,0,22,0.5167007498295841,1.7973626373626375,0
59,3964,2852,1276,5,10,0.7192938209331652,0.44724851033999297,1
19,2598,342,3240,2,13,0.13158907272027703,9.446064139941692,0
43,4729,1984,4942,0,9,0.41945031712473574,2.4896725440806047,0
34,4435,2747,3788,5,3,0.6192515779981965,1.3784570596797672,1
57,4382,1532,371,0,12,0.3495322838238649,0.2420091324200913,0
50,1911,2650,2807,0,17,1.3859832635983265,1.058845718596756,1
26,2430,2751,155,0,6,1.1316330728095434,0.056322674418604654,1
60,328,402,2661,3,3,1.221884498480243,6.602977667493796,1
56,1469,334,464,2,13,0.2272108843537415,1.3850746268656717,0
46,3872,2286,4878,0,7,0.5902401239349342,2.1329252295583734,0
59,1801,294,4899,5,21,0.16315205327413984,16.60677966101695,1
43,4965,1650,4315,3,21,0.33225936367297626,2.6135675348273772,1
52,4170,1892,1773,1,6,0.4536082474226804,0.936608557844691,0
42,4444,746,116,0,4,0.16782902137232847,0.15528781793842034,1
41,827,2148,2103,3,9,2.5942028985507246,0.9785946952070731,1
30,3997,660,1374,4,15,0.16508254127063532,2.0786686838124053,1
24,2244,1219,3203,1,22,0.5429844097995545,2.625409836065574,0
53,3752,812,4403,2,23,0.21636024513722354,5.415744157441575,0
62,2541,512,3546,0,14,0.2014162077104642,6.912280701754386,0
37,3414,637,3977,0,4,0.18653001464128843,6.233542319749216,0
18,449,1978,4317,3,11,4.395555555555555,2.1814047498736735,1
25,3125,2576,1196,2,18,0.8240563019833653,0.46410554908808693,1
63,1174,334,3411,4,10,0.28425531914893615,10.182089552238805,1
33,1525,2496,796,1,20,1.63564875491481,0.3187825390468562,1
31,1183,1879,3892,5,6,1.5869932432432432,2.070212765957447,1
29,1088,1993,150,2,13,1.8301193755739211,0.07522567703109329,1
40,3137,1604,3249,0,19,0.5111536010197578,2.0242990654205606,0
32,2317,1962,111,3,10,0.8464193270060397,0.056546102903718795,1
45,2872,2543,682,4,21,0.8851374869474417,0.26808176100628933,1
51,1526,1474,1161,3,10,0.9652914210870989,0.7871186440677966,1
19,670,515,2379,1,8,0.767511177347243,4.6104651162790695,1
49,2187,2009,4988,2,4,0.9181901279707495,2.481592039800995,1
40,290,1015,160,3,17,3.4879725085910653,0.15748031496062992,1
39,729,180,1425,5,3,0.2465753424657534,7.87292817679558,1
42,4956,2183,3661,5,8,0.4403873310470042,1.6762820512820513,1
39,4259,1190,277,3,21,0.2793427230046948,0.2325776658270361,1
39,2973,2788,3391,0,6,0.937457969065232,1.2158479741842954,1
59,1886,1790,1556,3,15,0.9485956544780074,0.868788386376326,1
23,391,856,4592,4,17,2.183673469387755,5.358226371061844,1
32,2186,2770,1915,2,11,1.266575217192501,0.6910862504511007,1
60,3823,567,4750,1,5,0.14827405857740586,8.362676056338028,0
54,2385,1265,3107,5,4,0.5301760268231349,2.4541864139020535,1
50,4640,2503,302,3,18,0.5393234216763628,0.12060702875399361,1
25,1208,2856,4533,4,20,2.3622828784119108,1.5866293314665734,1
61,3983,1594,2773,5,20,0.4001004016064257,1.7385579937304074,1
61,4498,1744,4281,5,8,0.3876416981551456,2.453295128939828,1
